Latitude (decimal degrees):	41.662
Longitude (decimal degrees):	-83.612
Elevation (m):	181
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200219:0130,0.0,0.0,-0.47,4.21,0.0
20200219:0230,0.0,0.0,-1.3,4.21,0.0
20200219:0330,0.0,0.0,-1.96,4.0,0.0
20200219:0430,0.0,0.0,-2.48,3.59,0.0
20200219:0530,0.0,0.0,-2.92,3.31,0.0
20200219:0630,0.0,0.0,-3.32,3.17,0.0
20200219:0730,0.0,0.0,-3.1,3.66,0.0
20200219:0830,0.0,0.0,-3.08,3.66,0.0
20200219:0930,0.0,0.0,-3.11,3.86,0.0
20200219:1030,0.0,0.0,-3.31,4.0,0.0
20200219:1130,0.0,0.0,-3.79,4.0,0.0
20200219:1230,6.2,0.07,-4.54,3.66,0.0
20200219:1330,344.64,10.56,-5.07,3.31,0.0
20200219:1430,614.96,20.12,-4.69,3.86,0.0
20200219:1530,859.25,28.19,-3.56,3.59,0.0
20200219:1630,1016.38,34.04,-2.51,3.38,0.0
20200219:1730,1085.69,36.88,-1.42,3.1,0.0
20200219:1830,1067.12,36.21,-0.42,3.1,0.0
20200219:1930,958.87,32.16,0.24,3.38,0.0
20200219:2030,769.71,25.38,0.64,3.66,0.0
20200219:2130,513.06,16.67,0.67,3.59,0.0
20200219:2230,221.73,6.7,0.29,3.24,0.0
20200219:2330,0.0,-4.03,-0.89,2.55,0.0
20200220:0030,0.0,0.0,-2.39,2.55,0.0
20200220:0130,0.0,0.0,-3.14,2.76,0.0
20200220:0230,0.0,0.0,-3.49,3.1,0.0
20200220:0330,0.0,0.0,-3.77,3.45,0.0
20200220:0430,0.0,0.0,-4.27,3.59,0.0
20200220:0530,0.0,0.0,-4.96,3.52,0.0
20200220:0630,0.0,0.0,-5.61,3.72,0.0
20200220:0730,0.0,0.0,-5.99,3.72,0.0
20200220:0830,0.0,0.0,-6.52,3.52,0.0
20200220:0930,0.0,0.0,-6.88,3.45,0.0
20200220:1030,0.0,0.0,-6.98,3.52,0.0
20200220:1130,0.0,0.0,-7.02,3.45,0.0
20200220:1230,4.71,0.32,-7.04,3.52,0.0
20200220:1330,133.22,10.83,-7.1,3.72,0.0
20200220:1430,518.13,20.42,-6.66,4.0,0.0
20200220:1530,758.14,28.51,-5.59,4.07,0.0
20200220:1630,949.76,34.39,-4.79,3.72,0.0
20200220:1730,950.45,37.24,-3.92,3.79,0.0
20200220:1830,851.5,36.56,-3.23,3.79,0.0
20200220:1930,900.53,32.48,-2.93,3.31,0.0
20200220:2030,693.31,25.67,-2.59,3.03,0.0
20200220:2130,434.27,16.93,-2.56,3.03,0.0
20200220:2230,209.93,6.94,-2.94,3.1,0.0
20200220:2330,0.0,-3.8,-3.84,2.21,0.0
20200221:0030,0.0,0.0,-4.99,2.21,0.0
20200221:0130,0.0,0.0,-5.68,2.28,0.0
20200221:0230,0.0,0.0,-6.1,2.0,0.0
20200221:0330,0.0,0.0,-6.46,1.93,0.0
20200221:0430,0.0,0.0,-6.78,1.93,0.0
20200221:0530,0.0,0.0,-6.99,2.28,0.0
20200221:0630,0.0,0.0,-7.21,2.62,0.0
20200221:0730,0.0,0.0,-7.63,2.69,0.0
20200221:0830,0.0,0.0,-7.95,2.83,0.0
20200221:0930,0.0,0.0,-8.26,2.83,0.0
20200221:1030,0.0,0.0,-8.42,2.69,0.0
20200221:1130,0.0,0.0,-8.47,2.69,0.0
20200221:1230,6.84,0.58,-8.5,2.69,0.0
20200221:1330,352.0,11.11,-8.19,2.69,0.0
20200221:1430,636.71,20.71,-6.56,3.79,0.0
20200221:1530,868.04,28.84,-4.79,4.28,0.0
20200221:1630,1025.39,34.74,-2.89,4.62,0.0
20200221:1730,1096.83,37.6,-1.06,5.03,0.0
20200221:1830,1077.98,36.91,0.44,5.45,0.0
20200221:1930,971.11,32.81,1.3,5.79,0.0
20200221:2030,782.86,25.96,1.93,6.0,0.0
20200221:2130,527.23,17.2,2.1,6.14,0.0
20200221:2230,234.24,7.18,1.63,5.72,0.0
20200221:2330,0.0,-3.58,0.15,5.17,0.0
20200222:0030,0.0,0.0,-1.19,5.38,0.0
20200222:0130,0.0,0.0,-1.8,5.66,0.0
20200222:0230,0.0,0.0,-2.22,5.72,0.0
20200222:0330,0.0,0.0,-2.6,5.59,0.0
20200222:0430,0.0,0.0,-2.97,5.59,0.0
20200222:0530,0.0,0.0,-3.23,5.86,0.0
20200222:0630,0.0,0.0,-3.4,5.86,0.0
20200222:0730,0.0,0.0,-3.37,5.79,0.0
20200222:0830,0.0,0.0,-3.54,5.52,0.0
20200222:0930,0.0,0.0,-3.67,5.31,0.0
20200222:1030,0.0,0.0,-3.79,5.1,0.0
20200222:1130,0.0,0.0,-3.88,4.83,0.0
20200222:1230,7.49,0.85,-3.99,4.55,0.0
20200222:1330,359.64,11.39,-3.76,4.55,0.0
20200222:1430,643.02,21.02,-1.99,4.9,0.0
20200222:1530,872.3,29.17,0.21,5.86,0.0
20200222:1630,1027.55,35.09,2.38,6.14,0.0
20200222:1730,1097.89,37.97,4.33,6.0,0.0
20200222:1830,1074.29,37.27,5.91,6.07,0.0
20200222:1930,965.75,33.13,7.43,6.34,0.0
20200222:2030,776.86,26.26,8.05,6.55,0.0
20200222:2130,522.0,17.46,7.99,6.21,0.0
20200222:2230,231.01,7.42,7.24,5.03,0.0
20200222:2330,0.0,-3.35,5.37,4.34,0.0
20200223:0030,0.0,0.0,3.17,4.0,0.0
20200223:0130,0.0,0.0,2.02,4.21,0.0
20200223:0230,0.0,0.0,1.41,4.55,0.0
20200223:0330,0.0,0.0,0.98,4.69,0.0
20200223:0430,0.0,0.0,0.7,4.83,0.0
20200223:0530,0.0,0.0,0.51,4.83,0.0
20200223:0630,0.0,0.0,0.39,4.62,0.0
20200223:0730,0.0,0.0,0.03,4.07,0.0
20200223:0830,0.0,0.0,-0.54,3.93,0.0
20200223:0930,0.0,0.0,-0.93,3.93,0.0
20200223:1030,0.0,0.0,-1.24,3.79,0.0
20200223:1130,0.0,0.0,-1.45,3.86,0.0
20200223:1230,7.85,1.12,-1.53,4.0,0.0
20200223:1330,347.34,11.67,-1.16,4.14,0.0
20200223:1430,625.92,21.33,0.91,4.28,0.0
20200223:1530,840.19,29.5,3.36,5.24,0.0
20200223:1630,980.57,35.45,5.38,5.72,0.0
20200223:1730,1033.81,38.33,7.2,5.86,0.0
20200223:1830,1024.22,37.62,8.68,6.0,0.0
20200223:1930,930.4,33.46,10.36,6.34,0.0
20200223:2030,743.8,26.55,11.0,6.48,0.0
20200223:2130,494.32,17.72,11.06,6.34,0.0
20200223:2230,221.21,7.66,10.39,5.59,0.0
20200223:2330,0.0,-3.13,8.66,5.17,0.0
20200224:0030,0.0,0.0,6.89,5.03,0.0
20200224:0130,0.0,0.0,5.77,4.97,0.0
20200224:0230,0.0,0.0,4.95,4.83,0.0
20200224:0330,0.0,0.0,4.34,4.76,0.0
20200224:0430,0.0,0.0,3.79,4.48,0.0
20200224:0530,0.0,0.0,3.17,4.28,0.0
20200224:0630,0.0,0.0,2.58,4.0,0.0
20200224:0730,0.0,0.0,2.44,4.07,0.0
20200224:0830,0.0,0.0,1.96,3.86,0.0
20200224:0930,0.0,0.0,1.45,3.72,0.0
20200224:1030,0.0,0.0,1.06,3.52,0.0
20200224:1130,0.0,0.0,0.74,3.03,0.0
20200224:1230,12.04,1.39,0.54,2.9,0.0
20200224:1330,128.25,11.96,0.77,2.69,0.0
20200224:1430,177.01,21.64,2.27,2.55,0.0
20200224:1530,286.86,29.84,3.72,3.03,0.0
20200224:1630,279.43,35.81,4.97,2.28,0.0
20200224:1730,435.9,38.7,5.97,2.48,0.0
20200224:1830,329.67,37.98,7.27,2.62,0.0
20200224:1930,261.07,33.79,7.83,1.52,0.0
20200224:2030,70.02,26.84,8.39,2.41,0.0
20200224:2130,60.75,17.98,7.87,1.31,0.0
20200224:2230,14.49,7.9,7.24,0.83,0.0
20200224:2330,0.0,-2.91,5.89,1.59,0.0
20200225:0030,0.0,0.0,5.05,1.79,0.0
20200225:0130,0.0,0.0,4.39,2.21,0.0
20200225:0230,0.0,0.0,4.07,2.14,0.0
20200225:0330,0.0,0.0,3.81,2.28,0.0
20200225:0430,0.0,0.0,3.54,2.62,0.0
20200225:0530,0.0,0.0,3.24,2.83,0.0
20200225:0630,0.0,0.0,2.86,3.03,0.0
20200225:0730,0.0,0.0,2.36,3.52,0.0
20200225:0830,0.0,0.0,1.87,3.93,0.0
20200225:0930,0.0,0.0,1.5,4.07,0.0
20200225:1030,0.0,0.0,1.41,4.07,0.0
20200225:1130,0.0,0.0,1.36,4.21,0.0
20200225:1230,4.99,1.66,1.38,4.21,0.0
20200225:1330,46.44,12.25,1.5,4.28,0.0
20200225:1430,88.88,21.95,1.91,5.1,0.0
20200225:1530,148.21,30.18,2.31,4.83,0.0
20200225:1630,225.07,36.17,2.86,5.1,0.0
20200225:1730,183.77,39.08,3.39,5.38,0.0
20200225:1830,223.04,38.34,3.7,5.59,0.0
20200225:1930,157.3,34.12,3.8,6.07,0.0
20200225:2030,140.1,27.14,3.89,5.93,0.0
20200225:2130,101.91,18.24,3.93,5.52,0.0
20200225:2230,32.77,8.14,3.63,5.52,0.0
20200225:2330,0.0,-2.68,2.91,5.52,0.0
20200226:0030,0.0,0.0,2.09,5.31,0.0
20200226:0130,0.0,0.0,0.96,4.9,0.0
20200226:0230,0.0,0.0,0.67,5.1,0.0
20200226:0330,0.0,0.0,0.26,5.31,0.0
20200226:0430,0.0,0.0,-0.06,5.45,0.0
20200226:0530,0.0,0.0,-0.23,5.45,0.0
20200226:0630,0.0,0.0,-0.26,5.38,0.0
20200226:0730,0.0,0.0,-0.57,5.17,0.0
20200226:0830,0.0,0.0,-0.64,5.1,0.0
20200226:0930,0.0,0.0,-0.63,4.69,0.0
20200226:1030,0.0,0.0,-0.58,4.28,0.0
20200226:1130,0.0,0.0,-0.53,3.93,0.0
20200226:1230,6.04,1.94,-0.48,3.86,0.0
20200226:1330,37.73,12.55,-0.39,3.38,0.0
20200226:1430,87.67,22.27,-0.13,4.34,0.0
20200226:1530,165.56,30.52,0.03,4.55,0.0
20200226:1630,96.01,36.54,0.45,4.69,0.0
20200226:1730,115.81,39.45,0.42,4.34,0.0
20200226:1830,156.52,38.7,0.34,4.41,0.0
20200226:1930,128.07,34.45,0.2,4.83,0.0
20200226:2030,138.77,27.43,-0.12,4.62,0.0
20200226:2130,60.72,18.51,-0.4,4.9,0.0
20200226:2230,64.45,8.37,-0.99,4.9,0.0
20200226:2330,0.0,-2.46,-1.74,5.93,0.0
20200227:0030,0.0,0.0,-2.56,6.34,0.0
20200227:0130,0.0,0.0,-3.08,6.69,0.0
20200227:0230,0.0,0.0,-3.43,6.34,0.0
20200227:0330,0.0,0.0,-3.59,5.45,0.0
20200227:0430,0.0,0.0,-3.68,5.03,0.0
20200227:0530,0.0,0.0,-3.92,5.66,0.0
20200227:0630,0.0,0.0,-4.49,6.41,0.0
20200227:0730,0.0,0.0,-5.72,5.86,0.0
20200227:0830,0.0,0.0,-6.6,5.66,0.0
20200227:0930,0.0,0.0,-6.93,5.45,0.0
20200227:1030,0.0,0.0,-6.82,5.45,0.0
20200227:1130,0.0,0.0,-6.53,5.66,0.0
20200227:1230,14.16,2.23,-6.71,5.59,0.0
20200227:1330,343.48,12.85,-6.95,5.52,0.0
20200227:1430,658.14,22.59,-6.48,5.72,0.0
20200227:1530,884.5,30.87,-5.68,5.59,0.0
20200227:1630,979.63,36.91,-4.89,7.72,0.0
20200227:1730,867.01,39.83,-4.29,9.1,0.0
20200227:1830,792.68,39.07,-3.94,8.62,0.0
20200227:1930,794.01,34.78,-3.21,8.62,0.0
20200227:2030,717.14,27.72,-3.13,8.21,0.0
20200227:2130,500.58,18.77,-3.35,7.59,0.0
20200227:2230,212.87,8.61,-3.9,6.97,0.0
20200227:2330,0.0,-2.24,-4.79,6.21,0.0
20200228:0030,0.0,0.0,-5.66,5.45,0.0
20200228:0130,0.0,0.0,-6.34,5.03,0.0
20200228:0230,0.0,0.0,-6.99,4.55,0.0
20200228:0330,0.0,0.0,-7.72,4.07,0.0
20200228:0430,0.0,0.0,-8.39,3.59,0.0
20200228:0530,0.0,0.0,-9.06,3.59,0.0
20200228:0630,0.0,0.0,-9.47,3.93,0.0
20200228:0730,0.0,0.0,-9.22,3.45,0.0
20200228:0830,0.0,0.0,-9.3,3.59,0.0
20200228:0930,0.0,0.0,-9.36,3.66,0.0
20200228:1030,0.0,0.0,-9.44,3.59,0.0
20200228:1130,0.0,0.0,-9.57,3.66,0.0
20200228:1230,108.84,2.51,-9.66,3.72,0.0
20200228:1330,375.2,13.15,-9.36,3.86,0.0
20200228:1430,646.65,22.91,-8.04,4.21,0.0
20200228:1530,733.74,31.22,-6.61,6.28,0.0
20200228:1630,758.57,37.28,-5.47,7.38,0.0
20200228:1730,709.84,40.21,-4.35,7.72,0.0
20200228:1830,608.27,39.43,-3.56,7.79,0.0
20200228:1930,641.32,35.11,-3.12,7.79,0.0
20200228:2030,297.79,28.02,-2.92,7.72,0.0
20200228:2130,398.61,19.03,-3.16,6.9,0.0
20200228:2230,236.75,8.84,-3.48,6.48,0.0
20200228:2330,0.0,-2.02,-4.55,6.0,0.0
20200229:0030,0.0,0.0,-5.61,5.79,0.0
20200229:0130,0.0,0.0,-6.2,5.66,0.0
20200229:0230,0.0,0.0,-6.61,5.31,0.0
20200229:0330,0.0,0.0,-6.81,4.9,0.0
20200229:0430,0.0,0.0,-6.96,4.62,0.0
20200229:0530,0.0,0.0,-6.89,4.48,0.0
20200229:0630,0.0,0.0,-7.04,4.41,0.0
20200229:0730,0.0,0.0,-7.34,4.14,0.0
20200229:0830,0.0,0.0,-7.42,3.93,0.0
20200229:0930,0.0,0.0,-7.6,3.79,0.0
20200229:1030,0.0,0.0,-7.77,3.79,0.0
20200229:1130,0.0,0.0,-7.8,3.93,0.0
20200229:1230,115.22,2.51,-7.9,4.0,0.0
20200229:1330,378.2,13.15,-7.59,4.0,0.0
20200229:1430,664.0,22.91,-6.32,4.0,0.0
20200229:1530,910.9,31.22,-5.01,4.83,0.0
20200229:1630,996.84,37.28,-3.88,5.59,0.0
20200229:1730,915.82,40.21,-2.99,5.24,0.0
20200229:1830,820.1,39.43,-2.2,5.31,0.0
20200229:1930,858.97,35.11,-1.35,5.1,0.0
20200229:2030,708.7,28.02,-0.78,5.38,0.0
20200229:2130,484.03,19.03,-0.54,5.66,0.0
20200229:2230,245.19,8.84,-0.92,4.69,0.0
20200229:2330,0.0,-2.02,-1.97,4.21,0.0
20200301:0030,0.0,0.0,-3.36,3.86,0.0
20200301:0130,0.0,0.0,-4.27,3.59,0.0
20200301:0230,0.0,0.0,-5.01,3.31,0.0
20200301:0330,0.0,0.0,-5.62,3.1,0.0
20200301:0430,0.0,0.0,-6.11,2.97,0.0
20200301:0530,0.0,0.0,-6.54,2.76,0.0
20200301:0630,0.0,0.0,-7.06,2.55,0.0
20200301:0730,0.0,0.0,-7.59,2.62,0.0
20200301:0830,0.0,0.0,-8.15,2.55,0.0
20200301:0930,0.0,0.0,-8.77,2.48,0.0
20200301:1030,0.0,0.0,-9.15,2.48,0.0
20200301:1130,0.0,0.0,-9.22,2.76,0.0
20200301:1230,114.26,2.8,-8.41,3.17,0.0
20200301:1330,376.03,13.45,-6.9,3.45,0.0
20200301:1430,637.86,23.23,-4.0,3.59,0.0
20200301:1530,827.53,31.57,-1.02,4.34,0.0
20200301:1630,938.77,37.65,1.5,4.97,0.0
20200301:1730,951.38,40.59,3.55,5.38,0.0
20200301:1830,793.57,39.8,5.04,5.86,0.0
20200301:1930,730.78,35.44,6.11,5.72,0.0
20200301:2030,653.74,28.31,7.05,5.59,0.0
20200301:2130,434.57,19.28,8.21,5.66,0.0
20200301:2230,198.91,9.08,8.62,6.0,0.0
20200301:2330,0.0,-1.8,7.96,6.21,0.0
20200302:0030,0.0,0.0,7.23,6.48,0.0
20200302:0130,0.0,0.0,7.35,6.69,0.0
20200302:0230,0.0,0.0,6.97,6.34,0.0
20200302:0330,0.0,0.0,7.02,5.86,0.0
20200302:0430,0.0,0.0,7.33,5.79,0.0
20200302:0530,0.0,0.0,8.12,5.93,0.0
20200302:0630,0.0,0.0,8.56,5.93,0.0
20200302:0730,0.0,0.0,8.35,6.07,0.0
20200302:0830,0.0,0.0,8.46,6.48,0.0
20200302:0930,0.0,0.0,8.46,6.21,0.0
20200302:1030,0.0,0.0,8.21,6.0,0.0
20200302:1130,0.0,0.0,8.11,6.07,0.0
20200302:1230,6.0,3.09,7.54,6.07,0.0
20200302:1330,20.55,13.76,7.19,6.07,0.0
20200302:1430,25.27,23.56,7.26,6.14,0.0
20200302:1530,66.71,31.92,7.3,6.14,0.0
20200302:1630,78.19,38.03,7.55,5.86,0.0
20200302:1730,125.38,40.97,7.85,5.38,0.0
20200302:1830,126.83,40.16,8.76,5.24,0.0
20200302:1930,100.11,35.77,9.91,4.21,0.0
20200302:2030,252.3,28.6,10.22,3.72,0.0
20200302:2130,244.21,19.54,10.92,4.28,0.0
20200302:2230,153.52,9.31,10.83,3.72,0.0
20200302:2330,0.0,-1.58,9.73,3.31,0.0
20200303:0030,0.0,0.0,7.72,2.83,0.0
20200303:0130,0.0,0.0,6.22,2.69,0.0
20200303:0230,0.0,0.0,5.52,2.76,0.0
20200303:0330,0.0,0.0,4.72,2.62,0.0
20200303:0430,0.0,0.0,3.72,2.28,0.0
20200303:0530,0.0,0.0,2.46,1.38,0.0
20200303:0630,0.0,0.0,1.93,1.1,0.0
20200303:0730,0.0,0.0,3.21,0.0,0.0
20200303:0830,0.0,0.0,1.57,1.03,0.0
20200303:0930,0.0,0.0,0.82,1.52,0.0
20200303:1030,0.0,0.0,0.47,1.79,0.0
20200303:1130,0.0,0.0,0.89,1.79,0.0
20200303:1230,4.81,3.39,1.31,1.72,0.0
20200303:1330,20.24,14.07,1.83,1.93,0.0
20200303:1430,53.19,23.89,2.3,1.72,0.0
20200303:1530,139.21,32.28,3.05,1.17,0.0
20200303:1630,327.48,38.41,4.64,2.28,0.0
20200303:1730,676.83,41.36,6.87,3.86,0.0
20200303:1830,560.0,40.53,8.64,5.45,0.0
20200303:1930,855.49,36.11,9.49,6.28,0.0
20200303:2030,765.32,28.89,9.95,7.17,0.0
20200303:2130,421.59,19.8,9.97,8.62,0.0
20200303:2230,167.75,9.55,8.81,7.38,0.0
20200303:2330,0.0,-1.36,7.73,7.17,0.0
20200304:0030,0.0,0.0,6.22,6.55,0.0
20200304:0130,0.0,0.0,5.16,6.14,0.0
20200304:0230,0.0,0.0,4.52,6.07,0.0
20200304:0330,0.0,0.0,4.01,6.0,0.0
20200304:0430,0.0,0.0,3.62,5.38,0.0
20200304:0530,0.0,0.0,3.08,4.55,0.0
20200304:0630,0.0,0.0,2.55,4.28,0.0
20200304:0730,0.0,0.0,2.21,4.41,0.0
20200304:0830,0.0,0.0,1.92,4.34,0.0
20200304:0930,0.0,0.0,1.6,4.14,0.0
20200304:1030,0.0,0.0,1.27,4.14,0.0
20200304:1130,0.0,0.0,1.02,4.21,0.0
20200304:1230,73.85,3.69,0.99,4.28,0.0
20200304:1330,92.12,14.38,1.71,4.21,0.0
20200304:1430,141.13,24.23,2.53,3.66,0.0
20200304:1530,197.86,32.64,3.09,3.38,0.0
20200304:1630,681.89,38.79,3.74,3.86,0.0
20200304:1730,805.03,41.75,5.56,4.76,0.0
20200304:1830,593.39,40.9,7.29,6.41,0.0
20200304:1930,630.61,36.44,7.43,6.0,0.0
20200304:2030,636.3,29.18,7.92,5.66,0.0
20200304:2130,465.16,20.06,8.02,5.24,0.0
20200304:2230,231.37,9.78,7.47,4.48,0.0
20200304:2330,0.0,-1.14,6.16,3.66,0.0
20200305:0030,0.0,0.0,4.11,3.93,0.0
20200305:0130,0.0,0.0,2.97,4.48,0.0
20200305:0230,0.0,0.0,2.05,4.69,0.0
20200305:0330,0.0,0.0,0.95,3.93,0.0
20200305:0430,0.0,0.0,-0.15,2.97,0.0
20200305:0530,0.0,0.0,-0.98,2.28,0.0
20200305:0630,0.0,0.0,-1.69,2.0,0.0
20200305:0730,0.0,0.0,-2.55,2.0,0.0
20200305:0830,0.0,0.0,-3.19,1.59,0.0
20200305:0930,0.0,0.0,-1.25,0.76,0.0
20200305:1030,0.0,0.0,-2.45,1.17,0.0
20200305:1130,0.0,0.0,-3.94,1.93,0.0
20200305:1230,120.39,3.99,-3.72,2.28,0.0
20200305:1330,388.38,14.69,-2.19,2.28,0.0
20200305:1430,655.95,24.56,0.86,3.38,0.0
20200305:1530,873.66,33.0,2.95,4.14,0.0
20200305:1630,1023.37,39.17,5.0,4.0,0.0
20200305:1730,1084.25,42.13,6.95,4.14,0.0
20200305:1830,1039.28,41.27,8.61,4.0,0.0
20200305:1930,930.61,36.77,9.85,4.07,0.0
20200305:2030,726.09,29.47,10.62,3.93,0.0
20200305:2130,533.6,20.31,10.82,3.52,0.0
20200305:2230,258.3,10.01,10.2,2.69,0.0
20200305:2330,0.0,-0.92,8.57,2.28,0.0
20200306:0030,0.0,0.0,6.63,2.69,0.0
20200306:0130,0.0,0.0,6.0,2.69,0.0
20200306:0230,0.0,0.0,5.83,3.31,0.0
20200306:0330,0.0,0.0,5.34,3.31,0.0
20200306:0430,0.0,0.0,4.59,3.31,0.0
20200306:0530,0.0,0.0,3.74,3.72,0.0
20200306:0630,0.0,0.0,2.95,4.0,0.0
20200306:0730,0.0,0.0,1.01,2.83,0.0
20200306:0830,0.0,0.0,0.79,3.31,0.0
20200306:0930,0.0,0.0,0.56,3.93,0.0
20200306:1030,0.0,0.0,0.21,3.79,0.0
20200306:1130,0.0,0.0,0.25,3.79,0.0
20200306:1230,50.89,4.29,0.16,3.86,0.0
20200306:1330,168.59,15.01,0.75,3.52,0.0
20200306:1430,263.58,24.9,2.0,5.38,0.0
20200306:1530,521.37,33.36,3.16,5.59,0.0
20200306:1630,606.29,39.56,4.38,5.86,0.0
20200306:1730,669.46,42.53,4.9,6.9,0.0
20200306:1830,584.34,41.64,4.92,8.14,0.0
20200306:1930,701.81,37.1,4.53,8.41,0.0
20200306:2030,573.85,29.76,4.38,8.48,0.0
20200306:2130,394.01,20.57,3.81,8.14,0.0
20200306:2230,186.37,10.24,2.97,7.52,0.0
20200306:2330,0.0,-0.7,1.98,6.55,0.0
20200307:0030,0.0,0.0,0.78,5.52,0.0
20200307:0130,0.0,0.0,-0.05,5.31,0.0
20200307:0230,0.0,0.0,-0.85,5.03,0.0
20200307:0330,0.0,0.0,-1.4,4.62,0.0
20200307:0430,0.0,0.0,-1.77,4.21,0.0
20200307:0530,0.0,0.0,-1.71,4.0,0.0
20200307:0630,0.0,0.0,-1.8,3.72,0.0
20200307:0730,0.0,0.0,-1.5,3.72,0.0
20200307:0830,0.0,0.0,-1.72,2.9,0.0
20200307:0930,0.0,0.0,-2.18,2.48,0.0
20200307:1030,0.0,0.0,-2.71,2.07,0.0
20200307:1130,0.0,0.0,-2.92,1.66,0.0
20200307:1230,107.9,4.6,-3.73,1.31,0.0
20200307:1330,392.51,15.33,-3.08,1.03,0.0
20200307:1430,667.25,25.24,-1.27,0.83,0.0
20200307:1530,893.06,33.73,-0.08,1.38,0.0
20200307:1630,1044.6,39.94,1.32,1.86,0.0
20200307:1730,1109.72,42.92,2.83,2.21,0.0
20200307:1830,1081.53,42.01,4.3,2.48,0.0
20200307:1930,970.63,37.43,5.41,2.34,0.0
20200307:2030,782.72,30.05,6.4,2.69,0.0
20200307:2130,534.12,20.82,6.92,2.97,0.0
20200307:2230,252.72,10.47,6.95,3.24,0.0
20200307:2330,0.0,-0.49,5.97,2.83,0.0
20200308:0030,0.0,0.0,4.01,3.1,0.0
20200308:0130,0.0,0.0,2.93,3.24,0.0
20200308:0230,0.0,0.0,2.35,3.52,0.0
20200308:0330,0.0,0.0,2.06,3.86,0.0
20200308:0430,0.0,0.0,1.91,4.21,0.0
20200308:0530,0.0,0.0,1.84,4.55,0.0
20200308:0630,0.0,0.0,1.8,4.69,0.0
20200308:0730,0.0,0.0,2.23,4.97,0.0
20200308:0830,0.0,0.0,2.14,4.83,0.0
20200308:0930,0.0,0.0,1.95,4.69,0.0
20200308:1030,0.0,0.0,1.77,4.69,0.0
20200308:1130,0.0,0.0,1.54,4.48,0.0
20200308:1230,126.33,4.9,1.24,4.34,0.0
20200308:1330,395.9,15.65,1.93,4.41,0.0
20200308:1430,657.92,25.58,4.13,4.62,0.0
20200308:1530,887.67,34.09,6.63,5.45,0.0
20200308:1630,1024.55,40.33,9.02,5.93,0.0
20200308:1730,1058.05,43.31,11.04,6.21,0.0
20200308:1830,1069.88,42.38,12.62,6.41,0.0
20200308:1930,951.77,37.76,14.34,6.55,0.0
20200308:2030,758.84,30.34,15.08,6.69,0.0
20200308:2130,467.06,21.08,15.27,6.48,0.0
20200308:2230,184.92,10.7,14.71,5.86,0.0
20200308:2330,0.0,-0.27,13.31,5.79,0.0
20200309:0030,0.0,0.0,11.81,5.93,0.0
20200309:0130,0.0,0.0,10.97,6.14,0.0
20200309:0230,0.0,0.0,10.64,6.41,0.0
20200309:0330,0.0,0.0,10.3,6.48,0.0
20200309:0430,0.0,0.0,10.35,6.69,0.0
20200309:0530,0.0,0.0,10.06,6.83,0.0
20200309:0630,0.0,0.0,9.9,6.76,0.0
20200309:0730,0.0,0.0,10.78,6.28,0.0
20200309:0830,0.0,0.0,10.44,6.21,0.0
20200309:0930,0.0,0.0,10.27,6.28,0.0
20200309:1030,0.0,0.0,10.2,6.34,0.0
20200309:1130,0.0,0.0,9.98,6.48,0.0
20200309:1230,111.22,5.21,9.78,6.41,0.0
20200309:1330,247.21,15.97,10.07,6.41,0.0
20200309:1430,330.05,25.92,11.13,6.07,0.0
20200309:1530,495.39,34.46,12.22,6.21,0.0
20200309:1630,538.89,40.72,13.49,6.9,0.0
20200309:1730,565.85,43.7,14.49,7.17,0.0
20200309:1830,641.39,42.75,15.41,7.38,0.0
20200309:1930,422.66,38.09,16.99,6.55,0.0
20200309:2030,268.0,30.63,17.06,6.0,0.0
20200309:2130,109.47,21.33,16.91,5.72,0.0
20200309:2230,33.91,10.93,15.85,5.59,0.0
20200309:2330,0.0,-0.06,14.8,6.07,0.0
20200310:0030,0.0,0.0,14.11,6.14,0.0
20200310:0130,0.0,0.0,13.14,6.34,0.0
20200310:0230,0.0,0.0,12.69,6.9,0.0
20200310:0330,0.0,0.0,12.25,7.66,0.0
20200310:0430,0.0,0.0,11.39,8.34,0.0
20200310:0530,0.0,0.0,11.52,8.55,0.0
20200310:0630,0.0,0.0,11.83,8.34,0.0
20200310:0730,0.0,0.0,12.32,8.21,0.0
20200310:0830,0.0,0.0,12.71,8.9,0.0
20200310:0930,0.0,0.0,12.71,8.69,0.0
20200310:1030,0.0,0.0,12.53,8.07,0.0
20200310:1130,0.0,0.0,12.13,7.17,0.0
20200310:1230,17.91,5.52,11.65,6.69,0.0
20200310:1330,79.31,16.3,10.55,6.21,0.0
20200310:1430,186.87,26.27,9.37,6.14,0.0
20200310:1530,156.65,34.83,7.97,6.55,0.0
20200310:1630,134.51,41.11,6.61,6.07,0.0
20200310:1730,237.08,44.1,6.06,5.31,0.0
20200310:1830,332.62,43.13,6.5,4.48,0.0
20200310:1930,356.23,38.42,8.2,4.0,0.0
20200310:2030,390.03,30.91,8.77,3.31,0.0
20200310:2130,305.33,21.58,9.31,2.97,0.0
20200310:2230,149.87,11.16,9.41,2.76,0.0
20200310:2330,5.88,0.16,9.02,1.59,0.0
20200311:0030,0.0,0.0,7.73,1.66,0.0
20200311:0130,0.0,0.0,6.13,2.21,0.0
