Latitude (decimal degrees):	41.662
Longitude (decimal degrees):	-83.612
Elevation (m):	181
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200225:1330,1.84,43.11,1.5,12.25,1.5,4.28,0.0
20200225:1430,5.47,80.57,2.84,21.95,1.91,5.1,0.0
20200225:1530,16.34,127.28,4.59,30.18,2.31,4.83,0.0
20200225:1630,65.1,153.77,6.2,36.17,2.86,5.1,0.0
20200225:1730,12.51,165.4,5.86,39.08,3.39,5.38,0.0
20200225:1830,64.75,152.13,6.17,38.34,3.7,5.59,0.0
20200225:1930,28.77,123.85,4.67,34.12,3.8,6.07,0.0
20200225:2030,9.65,126.0,4.45,27.14,3.89,5.93,0.0
20200225:2130,19.86,79.1,2.95,18.24,3.93,5.52,0.0
20200225:2230,6.34,25.5,0.93,8.14,3.63,5.52,0.0
20200225:2330,0.0,0.0,0.0,-2.68,2.91,5.52,0.0
20200226:0030,0.0,0.0,0.0,0.0,2.09,5.31,0.0
20200226:0130,0.0,0.0,0.0,0.0,0.96,4.9,0.0
20200226:0230,0.0,0.0,0.0,0.0,0.67,5.1,0.0
20200226:0330,0.0,0.0,0.0,0.0,0.26,5.31,0.0
20200226:0430,0.0,0.0,0.0,0.0,-0.06,5.45,0.0
20200226:0530,0.0,0.0,0.0,0.0,-0.23,5.45,0.0
20200226:0630,0.0,0.0,0.0,0.0,-0.26,5.38,0.0
20200226:0730,0.0,0.0,0.0,0.0,-0.57,5.17,0.0
20200226:0830,0.0,0.0,0.0,0.0,-0.64,5.1,0.0
20200226:0930,0.0,0.0,0.0,0.0,-0.63,4.69,0.0
20200226:1030,0.0,0.0,0.0,0.0,-0.58,4.28,0.0
20200226:1130,0.0,0.0,0.0,0.0,-0.53,3.93,0.0
20200226:1230,0.0,5.84,0.2,1.94,-0.48,3.86,0.0
20200226:1330,0.3,36.18,1.25,12.55,-0.39,3.38,0.0
20200226:1430,9.52,75.44,2.72,22.27,-0.13,4.34,0.0
20200226:1530,21.69,138.81,5.06,30.52,0.03,4.55,0.0
20200226:1630,0.08,92.74,3.19,36.54,0.45,4.69,0.0
20200226:1730,0.23,111.73,3.84,39.45,0.42,4.34,0.0
20200226:1830,0.63,150.71,5.19,38.7,0.34,4.41,0.0
20200226:1930,6.12,117.81,4.14,34.45,0.2,4.83,0.0
20200226:2030,27.02,107.68,4.07,27.43,-0.12,4.62,0.0
20200226:2130,0.27,58.44,2.01,18.51,-0.4,4.9,0.0
20200226:2230,32.85,30.27,1.33,8.37,-0.99,4.9,0.0
20200226:2330,0.0,0.0,0.0,-2.46,-1.74,5.93,0.0
20200227:0030,0.0,0.0,0.0,0.0,-2.56,6.34,0.0
20200227:0130,0.0,0.0,0.0,0.0,-3.08,6.69,0.0
20200227:0230,0.0,0.0,0.0,0.0,-3.43,6.34,0.0
20200227:0330,0.0,0.0,0.0,0.0,-3.59,5.45,0.0
20200227:0430,0.0,0.0,0.0,0.0,-3.68,5.03,0.0
20200227:0530,0.0,0.0,0.0,0.0,-3.92,5.66,0.0
20200227:0630,0.0,0.0,0.0,0.0,-4.49,6.41,0.0
20200227:0730,0.0,0.0,0.0,0.0,-5.72,5.86,0.0
20200227:0830,0.0,0.0,0.0,0.0,-6.6,5.66,0.0
20200227:0930,0.0,0.0,0.0,0.0,-6.93,5.45,0.0
20200227:1030,0.0,0.0,0.0,0.0,-6.82,5.45,0.0
20200227:1130,0.0,0.0,0.0,0.0,-6.53,5.66,0.0
20200227:1230,0.0,13.69,0.47,2.23,-6.71,5.59,0.0
20200227:1330,241.91,95.88,5.68,12.85,-6.95,5.52,0.0
20200227:1430,519.01,127.52,11.61,22.59,-6.48,5.72,0.0
20200227:1530,693.16,174.99,16.34,30.87,-5.68,5.59,0.0
20200227:1630,722.09,238.76,18.78,36.91,-4.89,7.72,0.0
20200227:1730,519.03,330.02,17.96,39.83,-4.29,9.1,0.0
20200227:1830,412.18,363.27,17.23,39.07,-3.94,8.62,0.0
20200227:1930,465.86,311.83,16.32,34.78,-3.21,8.62,0.0
20200227:2030,491.82,211.7,13.62,27.72,-3.13,8.21,0.0
20200227:2130,366.66,125.12,8.8,18.77,-3.35,7.59,0.0
20200227:2230,149.2,60.43,3.24,8.61,-3.9,6.97,0.0
20200227:2330,0.0,0.0,0.0,-2.24,-4.79,6.21,0.0
20200228:0030,0.0,0.0,0.0,0.0,-5.66,5.45,0.0
20200228:0130,0.0,0.0,0.0,0.0,-6.34,5.03,0.0
20200228:0230,0.0,0.0,0.0,0.0,-6.99,4.55,0.0
20200228:0330,0.0,0.0,0.0,0.0,-7.72,4.07,0.0
20200228:0430,0.0,0.0,0.0,0.0,-8.39,3.59,0.0
20200228:0530,0.0,0.0,0.0,0.0,-9.06,3.59,0.0
20200228:0630,0.0,0.0,0.0,0.0,-9.47,3.93,0.0
20200228:0730,0.0,0.0,0.0,0.0,-9.22,3.45,0.0
20200228:0830,0.0,0.0,0.0,0.0,-9.3,3.59,0.0
20200228:0930,0.0,0.0,0.0,0.0,-9.36,3.66,0.0
20200228:1030,0.0,0.0,0.0,0.0,-9.44,3.59,0.0
20200228:1130,0.0,0.0,0.0,0.0,-9.57,3.66,0.0
20200228:1230,90.9,16.9,1.04,2.51,-9.66,3.72,0.0
20200228:1330,290.21,78.94,6.05,13.15,-9.36,3.86,0.0
20200228:1430,509.84,125.26,11.55,22.91,-8.04,4.21,0.0
20200228:1530,484.44,234.82,14.48,31.22,-6.61,6.28,0.0
20200228:1630,396.05,346.03,16.49,37.28,-5.47,7.38,0.0
20200228:1730,280.41,412.41,17.01,40.21,-4.35,7.72,0.0
20200228:1830,209.13,383.83,15.31,39.43,-3.56,7.79,0.0
20200228:1930,293.78,332.91,14.63,35.11,-3.12,7.79,0.0
20200228:2030,55.17,234.04,8.58,28.02,-2.92,7.72,0.0
20200228:2130,244.46,146.42,7.73,19.03,-3.16,6.9,0.0
20200228:2230,172.85,60.34,3.56,8.84,-3.48,6.48,0.0
20200228:2330,0.0,0.0,0.0,-2.02,-4.55,6.0,0.0
20200229:0030,0.0,0.0,0.0,0.0,-5.61,5.79,0.0
20200229:0130,0.0,0.0,0.0,0.0,-6.2,5.66,0.0
20200229:0230,0.0,0.0,0.0,0.0,-6.61,5.31,0.0
20200229:0330,0.0,0.0,0.0,0.0,-6.81,4.9,0.0
20200229:0430,0.0,0.0,0.0,0.0,-6.96,4.62,0.0
20200229:0530,0.0,0.0,0.0,0.0,-6.89,4.48,0.0
20200229:0630,0.0,0.0,0.0,0.0,-7.04,4.41,0.0
20200229:0730,0.0,0.0,0.0,0.0,-7.34,4.14,0.0
20200229:0830,0.0,0.0,0.0,0.0,-7.42,3.93,0.0
20200229:0930,0.0,0.0,0.0,0.0,-7.6,3.79,0.0
20200229:1030,0.0,0.0,0.0,0.0,-7.77,3.79,0.0
20200229:1130,0.0,0.0,0.0,0.0,-7.8,3.93,0.0
20200229:1230,96.31,17.82,1.09,2.51,-7.9,4.0,0.0
20200229:1330,292.5,79.61,6.09,13.15,-7.59,4.0,0.0
20200229:1430,538.79,113.44,11.77,22.91,-6.32,4.0,0.0
20200229:1530,767.91,126.25,16.74,31.22,-5.01,4.83,0.0
20200229:1630,760.89,216.86,19.08,37.28,-3.88,5.59,0.0
20200229:1730,571.14,325.92,18.75,40.21,-2.99,5.24,0.0
20200229:1830,478.42,324.41,17.26,39.43,-2.2,5.31,0.0
20200229:1930,586.86,255.22,16.9,35.11,-1.35,5.1,0.0
20200229:2030,490.8,204.35,13.55,28.02,-0.78,5.38,0.0
20200229:2130,343.91,131.4,8.72,19.03,-0.54,5.66,0.0
20200229:2230,180.41,61.13,3.66,8.84,-0.92,4.69,0.0
20200229:2330,0.0,0.0,0.0,-2.02,-1.97,4.21,0.0
20200301:0030,0.0,0.0,0.0,0.0,-3.36,3.86,0.0
20200301:0130,0.0,0.0,0.0,0.0,-4.27,3.59,0.0
20200301:0230,0.0,0.0,0.0,0.0,-5.01,3.31,0.0
20200301:0330,0.0,0.0,0.0,0.0,-5.62,3.1,0.0
20200301:0430,0.0,0.0,0.0,0.0,-6.11,2.97,0.0
20200301:0530,0.0,0.0,0.0,0.0,-6.54,2.76,0.0
20200301:0630,0.0,0.0,0.0,0.0,-7.06,2.55,0.0
20200301:0730,0.0,0.0,0.0,0.0,-7.59,2.62,0.0
20200301:0830,0.0,0.0,0.0,0.0,-8.15,2.55,0.0
20200301:0930,0.0,0.0,0.0,0.0,-8.77,2.48,0.0
20200301:1030,0.0,0.0,0.0,0.0,-9.15,2.48,0.0
20200301:1130,0.0,0.0,0.0,0.0,-9.22,2.76,0.0
20200301:1230,93.62,19.45,1.19,2.8,-8.41,3.17,0.0
20200301:1330,286.84,82.99,6.2,13.45,-6.9,3.45,0.0
20200301:1430,497.07,129.23,11.56,23.23,-4.0,3.59,0.0
20200301:1530,618.65,193.11,15.77,31.57,-1.02,4.34,0.0
20200301:1630,658.55,261.71,18.51,37.65,1.5,4.97,0.0
20200301:1730,634.26,297.93,19.19,40.59,3.55,5.38,0.0
20200301:1830,430.05,346.31,17.21,39.8,5.04,5.86,0.0
20200301:1930,422.39,292.98,15.41,35.44,6.11,5.72,0.0
20200301:2030,444.66,196.31,12.77,28.31,7.05,5.59,0.0
20200301:2130,289.6,136.79,8.18,19.28,8.21,5.66,0.0
20200301:2230,128.11,67.46,3.33,9.08,8.62,6.0,0.0
20200301:2330,0.0,0.0,0.0,-1.8,7.96,6.21,0.0
20200302:0030,0.0,0.0,0.0,0.0,7.23,6.48,0.0
20200302:0130,0.0,0.0,0.0,0.0,7.35,6.69,0.0
20200302:0230,0.0,0.0,0.0,0.0,6.97,6.34,0.0
20200302:0330,0.0,0.0,0.0,0.0,7.02,5.86,0.0
20200302:0430,0.0,0.0,0.0,0.0,7.33,5.79,0.0
20200302:0530,0.0,0.0,0.0,0.0,8.12,5.93,0.0
20200302:0630,0.0,0.0,0.0,0.0,8.56,5.93,0.0
20200302:0730,0.0,0.0,0.0,0.0,8.35,6.07,0.0
20200302:0830,0.0,0.0,0.0,0.0,8.46,6.48,0.0
20200302:0930,0.0,0.0,0.0,0.0,8.46,6.21,0.0
20200302:1030,0.0,0.0,0.0,0.0,8.21,6.0,0.0
20200302:1130,0.0,0.0,0.0,0.0,8.11,6.07,0.0
20200302:1230,0.0,5.8,0.2,3.09,7.54,6.07,0.0
20200302:1330,0.0,19.87,0.68,13.76,7.19,6.07,0.0
20200302:1430,0.0,24.43,0.84,23.56,7.26,6.14,0.0
20200302:1530,0.23,64.27,2.21,31.92,7.3,6.14,0.0
20200302:1630,0.0,75.6,2.6,38.03,7.55,5.86,0.0
20200302:1730,2.43,118.83,4.12,40.97,7.85,5.38,0.0
20200302:1830,0.99,121.65,4.19,40.16,8.76,5.24,0.0
20200302:1930,0.0,96.79,3.32,35.77,9.91,4.21,0.0
20200302:2030,87.13,158.56,6.6,28.6,10.22,3.72,0.0
20200302:2130,146.88,92.21,5.12,19.54,10.92,4.28,0.0
20200302:2230,101.21,49.62,2.68,9.31,10.83,3.72,0.0
20200302:2330,0.0,0.0,0.0,-1.58,9.73,3.31,0.0
20200303:0030,0.0,0.0,0.0,0.0,7.72,2.83,0.0
20200303:0130,0.0,0.0,0.0,0.0,6.22,2.69,0.0
20200303:0230,0.0,0.0,0.0,0.0,5.52,2.76,0.0
20200303:0330,0.0,0.0,0.0,0.0,4.72,2.62,0.0
20200303:0430,0.0,0.0,0.0,0.0,3.72,2.28,0.0
20200303:0530,0.0,0.0,0.0,0.0,2.46,1.38,0.0
20200303:0630,0.0,0.0,0.0,0.0,1.93,1.1,0.0
20200303:0730,0.0,0.0,0.0,0.0,3.21,0.0,0.0
20200303:0830,0.0,0.0,0.0,0.0,1.57,1.03,0.0
20200303:0930,0.0,0.0,0.0,0.0,0.82,1.52,0.0
20200303:1030,0.0,0.0,0.0,0.0,0.47,1.79,0.0
20200303:1130,0.0,0.0,0.0,0.0,0.89,1.79,0.0
20200303:1230,0.65,4.02,0.14,3.39,1.31,1.72,0.0
20200303:1330,0.0,19.57,0.67,14.07,1.83,1.93,0.0
20200303:1430,0.0,51.42,1.77,23.89,2.3,1.72,0.0
20200303:1530,10.05,124.72,4.43,32.28,3.05,1.17,0.0
20200303:1630,122.29,196.67,8.52,38.41,4.64,2.28,0.0
20200303:1730,432.27,230.12,14.43,41.36,6.87,3.86,0.0
20200303:1830,328.42,219.15,12.43,40.53,8.64,5.45,0.0
20200303:1930,629.69,208.92,16.88,36.11,9.49,6.28,0.0
20200303:2030,637.32,113.68,14.33,28.89,9.95,7.17,0.0
20200303:2130,304.86,108.81,7.92,19.8,9.97,8.62,0.0
20200303:2230,107.05,57.69,3.0,9.55,8.81,7.38,0.0
20200303:2330,0.0,0.0,0.0,-1.36,7.73,7.17,0.0
20200304:0030,0.0,0.0,0.0,0.0,6.22,6.55,0.0
20200304:0130,0.0,0.0,0.0,0.0,5.16,6.14,0.0
20200304:0230,0.0,0.0,0.0,0.0,4.52,6.07,0.0
20200304:0330,0.0,0.0,0.0,0.0,4.01,6.0,0.0
20200304:0430,0.0,0.0,0.0,0.0,3.62,5.38,0.0
20200304:0530,0.0,0.0,0.0,0.0,3.08,4.55,0.0
20200304:0630,0.0,0.0,0.0,0.0,2.55,4.28,0.0
20200304:0730,0.0,0.0,0.0,0.0,2.21,4.41,0.0
20200304:0830,0.0,0.0,0.0,0.0,1.92,4.34,0.0
20200304:0930,0.0,0.0,0.0,0.0,1.6,4.14,0.0
20200304:1030,0.0,0.0,0.0,0.0,1.27,4.14,0.0
20200304:1130,0.0,0.0,0.0,0.0,1.02,4.21,0.0
20200304:1230,52.86,19.9,1.09,3.69,0.99,4.28,0.0
20200304:1330,25.93,63.69,2.5,14.38,1.71,4.21,0.0
20200304:1430,28.31,108.7,4.13,24.23,2.53,3.66,0.0
20200304:1530,19.85,171.83,6.18,32.64,3.09,3.38,0.0
20200304:1630,478.73,189.07,14.09,38.79,3.74,3.86,0.0
20200304:1730,563.79,224.66,16.58,41.75,5.56,4.76,0.0
20200304:1830,333.68,246.38,13.33,40.9,7.29,6.41,0.0
20200304:1930,415.55,201.82,13.23,36.44,7.43,6.0,0.0
20200304:2030,452.03,171.66,12.61,29.18,7.92,5.66,0.0
20200304:2130,339.92,116.51,8.73,20.06,8.02,5.24,0.0
20200304:2230,165.51,62.01,3.85,9.78,7.47,4.48,0.0
20200304:2330,0.0,0.0,0.0,-1.14,6.16,3.66,0.0
20200305:0030,0.0,0.0,0.0,0.0,4.11,3.93,0.0
20200305:0130,0.0,0.0,0.0,0.0,2.97,4.48,0.0
20200305:0230,0.0,0.0,0.0,0.0,2.05,4.69,0.0
20200305:0330,0.0,0.0,0.0,0.0,0.95,3.93,0.0
20200305:0430,0.0,0.0,0.0,0.0,-0.15,2.97,0.0
20200305:0530,0.0,0.0,0.0,0.0,-0.98,2.28,0.0
20200305:0630,0.0,0.0,0.0,0.0,-1.69,2.0,0.0
20200305:0730,0.0,0.0,0.0,0.0,-2.55,2.0,0.0
20200305:0830,0.0,0.0,0.0,0.0,-3.19,1.59,0.0
20200305:0930,0.0,0.0,0.0,0.0,-1.25,0.76,0.0
20200305:1030,0.0,0.0,0.0,0.0,-2.45,1.17,0.0
20200305:1130,0.0,0.0,0.0,0.0,-3.94,1.93,0.0
20200305:1230,96.44,22.36,1.6,3.99,-3.72,2.28,0.0
20200305:1330,302.69,78.88,6.81,14.69,-2.19,2.28,0.0
20200305:1430,539.1,104.59,12.26,24.56,0.86,3.38,0.0
20200305:1530,736.57,120.3,16.79,33.0,2.95,4.14,0.0
20200305:1630,872.56,130.88,19.92,39.17,5.0,4.0,0.0
20200305:1730,917.44,145.57,21.25,42.13,6.95,4.14,0.0
20200305:1830,852.51,166.32,20.44,41.27,8.61,4.0,0.0
20200305:1930,763.13,149.32,18.15,36.77,9.85,4.07,0.0
20200305:2030,560.68,151.33,14.08,29.47,10.62,3.93,0.0
20200305:2130,435.23,88.62,9.75,20.31,10.82,3.52,0.0
20200305:2230,196.75,57.31,4.23,10.01,10.2,2.69,0.0
20200305:2330,0.0,0.0,0.0,-0.92,8.57,2.28,0.0
20200306:0030,0.0,0.0,0.0,0.0,6.63,2.69,0.0
20200306:0130,0.0,0.0,0.0,0.0,6.0,2.69,0.0
20200306:0230,0.0,0.0,0.0,0.0,5.83,3.31,0.0
20200306:0330,0.0,0.0,0.0,0.0,5.34,3.31,0.0
20200306:0430,0.0,0.0,0.0,0.0,4.59,3.31,0.0
20200306:0530,0.0,0.0,0.0,0.0,3.74,3.72,0.0
20200306:0630,0.0,0.0,0.0,0.0,2.95,4.0,0.0
20200306:0730,0.0,0.0,0.0,0.0,1.01,2.83,0.0
20200306:0830,0.0,0.0,0.0,0.0,0.79,3.31,0.0
20200306:0930,0.0,0.0,0.0,0.0,0.56,3.93,0.0
20200306:1030,0.0,0.0,0.0,0.0,0.21,3.79,0.0
20200306:1130,0.0,0.0,0.0,0.0,0.25,3.79,0.0
20200306:1230,27.27,22.6,1.02,4.29,0.16,3.86,0.0
20200306:1330,76.45,88.2,3.94,15.01,0.75,3.52,0.0
20200306:1430,115.07,142.06,6.46,24.9,2.0,5.38,0.0
20200306:1530,328.94,181.19,11.24,33.36,3.16,5.59,0.0
20200306:1630,377.26,215.78,13.24,39.56,4.38,5.86,0.0
20200306:1730,432.69,222.31,14.47,42.53,4.9,6.9,0.0
20200306:1830,310.88,259.99,13.47,41.64,4.92,8.14,0.0
20200306:1930,462.1,224.95,14.76,37.1,4.53,8.41,0.0
20200306:2030,351.76,209.94,12.14,29.76,4.38,8.48,0.0
20200306:2130,251.14,134.87,8.01,20.57,3.81,8.14,0.0
20200306:2230,117.84,65.04,3.49,10.24,2.97,7.52,0.0
20200306:2330,0.0,0.0,0.0,-0.7,1.98,6.55,0.0
20200307:0030,0.0,0.0,0.0,0.0,0.78,5.52,0.0
20200307:0130,0.0,0.0,0.0,0.0,-0.05,5.31,0.0
20200307:0230,0.0,0.0,0.0,0.0,-0.85,5.03,0.0
20200307:0330,0.0,0.0,0.0,0.0,-1.4,4.62,0.0
20200307:0430,0.0,0.0,0.0,0.0,-1.77,4.21,0.0
20200307:0530,0.0,0.0,0.0,0.0,-1.71,4.0,0.0
20200307:0630,0.0,0.0,0.0,0.0,-1.8,3.72,0.0
20200307:0730,0.0,0.0,0.0,0.0,-1.5,3.72,0.0
20200307:0830,0.0,0.0,0.0,0.0,-1.72,2.9,0.0
20200307:0930,0.0,0.0,0.0,0.0,-2.18,2.48,0.0
20200307:1030,0.0,0.0,0.0,0.0,-2.71,2.07,0.0
20200307:1130,0.0,0.0,0.0,0.0,-2.92,1.66,0.0
20200307:1230,80.91,25.32,1.67,4.6,-3.73,1.31,0.0
20200307:1330,304.45,80.94,7.12,15.33,-3.08,1.03,0.0
20200307:1430,545.44,109.07,12.74,25.24,-1.27,0.83,0.0
20200307:1530,754.56,121.07,17.42,33.73,-0.08,1.38,0.0
20200307:1630,897.51,126.5,20.59,39.94,1.32,1.86,0.0
20200307:1730,959.48,128.27,21.97,42.92,2.83,2.21,0.0
20200307:1830,933.66,126.47,21.39,42.01,4.3,2.48,0.0
20200307:1930,831.44,120.12,19.07,37.43,5.41,2.34,0.0
20200307:2030,659.2,108.37,15.14,30.05,6.4,2.69,0.0
20200307:2130,434.56,89.56,10.01,20.82,6.92,2.97,0.0
20200307:2230,191.03,57.35,4.35,10.47,6.95,3.24,0.0
20200307:2330,0.0,0.0,0.0,-0.49,5.97,2.83,0.0
20200308:0030,0.0,0.0,0.0,0.0,4.01,3.1,0.0
20200308:0130,0.0,0.0,0.0,0.0,2.93,3.24,0.0
20200308:0230,0.0,0.0,0.0,0.0,2.35,3.52,0.0
20200308:0330,0.0,0.0,0.0,0.0,2.06,3.86,0.0
20200308:0430,0.0,0.0,0.0,0.0,1.91,4.21,0.0
20200308:0530,0.0,0.0,0.0,0.0,1.84,4.55,0.0
20200308:0630,0.0,0.0,0.0,0.0,1.8,4.69,0.0
20200308:0730,0.0,0.0,0.0,0.0,2.23,4.97,0.0
20200308:0830,0.0,0.0,0.0,0.0,2.14,4.83,0.0
20200308:0930,0.0,0.0,0.0,0.0,1.95,4.69,0.0
20200308:1030,0.0,0.0,0.0,0.0,1.77,4.69,0.0
20200308:1130,0.0,0.0,0.0,0.0,1.54,4.48,0.0
20200308:1230,99.04,25.35,1.94,4.9,1.24,4.34,0.0
20200308:1330,307.81,80.8,7.3,15.65,1.93,4.41,0.0
20200308:1430,532.88,112.32,12.73,25.58,4.13,4.62,0.0
20200308:1530,754.17,116.05,17.45,34.09,6.63,5.45,0.0
20200308:1630,862.02,142.12,20.41,40.33,9.02,5.93,0.0
20200308:1730,847.48,189.25,21.33,43.31,11.04,6.21,0.0
20200308:1830,909.61,138.92,21.35,42.38,12.62,6.41,0.0
20200308:1930,793.61,139.25,18.91,37.76,14.34,6.55,0.0
20200308:2030,612.1,131.82,14.93,30.34,15.08,6.69,0.0
20200308:2130,328.62,129.18,9.25,21.08,15.27,6.48,0.0
20200308:2230,118.7,62.66,3.57,10.7,14.71,5.86,0.0
20200308:2330,0.0,0.0,0.0,-0.27,13.31,5.79,0.0
20200309:0030,0.0,0.0,0.0,0.0,11.81,5.93,0.0
20200309:0130,0.0,0.0,0.0,0.0,10.97,6.14,0.0
20200309:0230,0.0,0.0,0.0,0.0,10.64,6.41,0.0
20200309:0330,0.0,0.0,0.0,0.0,10.3,6.48,0.0
20200309:0430,0.0,0.0,0.0,0.0,10.35,6.69,0.0
20200309:0530,0.0,0.0,0.0,0.0,10.06,6.83,0.0
20200309:0630,0.0,0.0,0.0,0.0,9.9,6.76,0.0
20200309:0730,0.0,0.0,0.0,0.0,10.78,6.28,0.0
20200309:0830,0.0,0.0,0.0,0.0,10.44,6.21,0.0
20200309:0930,0.0,0.0,0.0,0.0,10.27,6.28,0.0
20200309:1030,0.0,0.0,0.0,0.0,10.2,6.34,0.0
20200309:1130,0.0,0.0,0.0,0.0,9.98,6.48,0.0
20200309:1230,81.48,27.86,1.88,5.21,9.78,6.41,0.0
20200309:1330,120.52,121.09,5.6,15.97,10.07,6.41,0.0
20200309:1430,112.42,209.07,8.57,25.92,11.13,6.07,0.0
20200309:1530,210.27,272.96,12.16,34.46,12.22,6.21,0.0
20200309:1630,204.52,320.65,13.72,40.72,13.49,6.9,0.0
20200309:1730,209.25,342.07,14.53,43.7,14.49,7.17,0.0
20200309:1830,305.87,320.24,15.28,42.75,15.41,7.38,0.0
20200309:1930,157.08,254.62,10.96,38.09,16.99,6.55,0.0
20200309:2030,63.65,196.72,7.63,30.63,17.06,6.0,0.0
20200309:2130,5.24,100.7,3.53,21.33,16.91,5.72,0.0
20200309:2230,2.76,30.08,1.07,10.93,15.85,5.59,0.0
20200309:2330,0.0,0.0,0.0,-0.06,14.8,6.07,0.0
20200310:0030,0.0,0.0,0.0,0.0,14.11,6.14,0.0
20200310:0130,0.0,0.0,0.0,0.0,13.14,6.34,0.0
20200310:0230,0.0,0.0,0.0,0.0,12.69,6.9,0.0
20200310:0330,0.0,0.0,0.0,0.0,12.25,7.66,0.0
20200310:0430,0.0,0.0,0.0,0.0,11.39,8.34,0.0
20200310:0530,0.0,0.0,0.0,0.0,11.52,8.55,0.0
20200310:0630,0.0,0.0,0.0,0.0,11.83,8.34,0.0
20200310:0730,0.0,0.0,0.0,0.0,12.32,8.21,0.0
20200310:0830,0.0,0.0,0.0,0.0,12.71,8.9,0.0
20200310:0930,0.0,0.0,0.0,0.0,12.71,8.69,0.0
20200310:1030,0.0,0.0,0.0,0.0,12.53,8.07,0.0
20200310:1130,0.0,0.0,0.0,0.0,12.13,7.17,0.0
20200310:1230,3.06,14.32,0.53,5.52,11.65,6.69,0.0
20200310:1330,9.7,67.16,2.45,16.3,10.55,6.21,0.0
20200310:1430,50.56,131.05,5.26,26.27,9.37,6.14,0.0
20200310:1530,39.93,112.18,4.53,34.83,7.97,6.55,0.0
20200310:1630,1.94,128.13,4.43,41.11,6.61,6.07,0.0
20200310:1730,42.43,187.52,7.13,44.1,6.06,5.31,0.0
20200310:1830,89.78,233.46,9.38,43.13,6.5,4.48,0.0
20200310:1930,119.38,227.28,9.57,38.42,8.2,4.0,0.0
20200310:2030,182.19,198.38,9.46,30.91,8.77,3.31,0.0
20200310:2130,160.7,137.64,6.99,21.58,9.31,2.97,0.0
20200310:2230,83.64,63.01,3.22,11.16,9.41,2.76,0.0
20200310:2330,0.0,5.66,0.21,0.16,9.02,1.59,0.0
20200311:0030,0.0,0.0,0.0,0.0,7.73,1.66,0.0
20200311:0130,0.0,0.0,0.0,0.0,6.13,2.21,0.0
20200311:0230,0.0,0.0,0.0,0.0,4.95,2.34,0.0
20200311:0330,0.0,0.0,0.0,0.0,4.15,2.62,0.0
20200311:0430,0.0,0.0,0.0,0.0,3.52,2.9,0.0
20200311:0530,0.0,0.0,0.0,0.0,3.12,2.97,0.0
20200311:0630,0.0,0.0,0.0,0.0,2.65,2.69,0.0
20200311:0730,0.0,0.0,0.0,0.0,2.64,1.72,0.0
20200311:0830,0.0,0.0,0.0,0.0,2.5,1.86,0.0
20200311:0930,0.0,0.0,0.0,0.0,2.43,1.93,0.0
20200311:1030,0.0,0.0,0.0,0.0,2.64,1.79,0.0
20200311:1130,0.0,0.0,0.0,-5.31,2.85,1.72,0.0
20200311:1230,0.0,14.11,0.48,5.84,2.94,1.86,0.0
20200311:1330,1.09,49.98,1.73,16.62,3.36,1.52,0.0
20200311:1430,78.29,126.74,5.57,26.61,3.93,1.86,0.0
20200311:1530,189.83,182.81,9.29,35.2,5.08,2.14,0.0
20200311:1630,159.08,198.57,9.39,41.51,6.08,2.41,0.0
20200311:1730,119.09,191.08,8.53,44.5,6.78,2.48,0.0
20200311:1830,148.01,258.64,11.11,43.5,7.34,2.41,0.0
20200311:1930,63.46,217.13,8.41,38.75,9.11,2.76,0.0
20200311:2030,49.09,165.39,6.42,31.2,9.24,2.28,0.0
20200311:2130,39.33,112.51,4.44,21.83,8.85,1.03,0.0
20200311:2230,27.99,56.95,2.32,11.38,8.25,0.83,0.0
20200311:2330,0.0,5.12,0.19,0.37,7.56,1.03,0.0
20200312:0030,0.0,0.0,0.0,0.0,6.43,1.59,0.0
20200312:0130,0.0,0.0,0.0,0.0,5.69,1.93,0.0
20200312:0230,0.0,0.0,0.0,0.0,5.25,2.07,0.0
20200312:0330,0.0,0.0,0.0,0.0,4.65,2.0,0.0
20200312:0430,0.0,0.0,0.0,0.0,4.59,1.72,0.0
20200312:0530,0.0,0.0,0.0,0.0,4.46,1.45,0.0
20200312:0630,0.0,0.0,0.0,0.0,4.52,1.31,0.0
20200312:0730,0.0,0.0,0.0,0.0,4.71,1.24,0.0
20200312:0830,0.0,0.0,0.0,0.0,4.79,1.24,0.0
20200312:0930,0.0,0.0,0.0,0.0,4.69,1.03,0.0
20200312:1030,0.0,0.0,0.0,0.0,4.74,1.24,0.0
20200312:1130,0.0,0.0,0.0,-5.0,4.72,1.59,0.0
20200312:1230,3.69,20.6,0.75,6.15,4.7,1.72,0.0
20200312:1330,42.83,69.97,3.06,16.95,5.18,1.72,0.0
20200312:1430,43.78,126.37,5.03,26.96,6.42,2.28,0.0
20200312:1530,67.44,186.07,7.44,35.57,7.52,2.76,0.0
20200312:1630,74.03,271.52,10.39,41.9,8.82,3.52,0.0
20200312:1730,70.76,275.66,10.51,44.89,10.15,3.93,0.0
20200312:1830,92.56,279.84,10.96,43.87,11.27,4.0,0.0
20200312:1930,121.53,237.64,9.99,39.08,12.31,3.45,0.0
20200312:2030,43.23,158.77,6.13,31.48,13.52,3.38,0.0
